Name,State,Level,Body Type,Body,Office,District / Area,Branch,Chamber,Party,Type,Inc Running,Incumbent,Inc. Party,Primary Date,Primary Result,General Date,General Result,General Vote %,Gender,Ethnicity,Website,Notes,Year
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Ami Bera,CA,Federal,U.S. House,U.S. House,U.S. Representative,CA-07,Legis,Lower,D,Incumbent,Yes,Ami Bera,D,3/3/2020,Won,11/3/2020,Won,61.00%,M,Indian,http://www.beraforcongress.com/,,2020
Andy Kim,NJ,Federal,U.S. House,U.S. House,U.S. Representative,NJ-3,Legis,Lower,D,Incumbent,Yes,Andy Kim,D,6/2/2020,Won,11/3/2020,Won,54.30%,M,Korean,https://www.andykimforcongress.com/,,2020
Bobby Scott,VA,Federal,U.S. House,U.S. House,U.S. Representative,VA-03,Legis,Lower,D,Incumbent,Yes,Bobby Scott,D,6/9/2020,Won,11/3/2020,Won,68.40%,M,,http://www.bobbyscottforcongress.com/,,2020
Kaiali'i Kahele,HI,Federal,U.S. House,U.S. House,U.S. Representative,HI-02,Legis,Lower,D,Open Seat,No,Tulsi Gabbard,D,8/8/2020,Won,11/3/2020,Won,63.00%,M,Hawaiian,https://www.kaikahele.com/,,2020
Mark Takano,CA,Federal,U.S. House,U.S. House,U.S. Representative,CA-41,Legis,Lower,D,Incumbent,Yes,Mark Takano,D,3/3/2020,Won,11/3/2020,Won,64.50%,M,Japanese,https://marktakano.com/,,2020
Michael San Nicolas,GU,Federal,U.S. House,U.S. House,U.S. Representative,GU-AL,Legis,Lower,D,Incumbent,Yes,Michael San Nicolas,D,,Won,11/3/2020,Won,59.60%,M,Guamanian,,,2020
Raja Krishnamoorthi,IL,Federal,U.S. House,U.S. House,U.S. Representative,IL-08,Legis,Lower,D,Incumbent,Yes,Raja Krishnamoorthi,D,3/17/2020,Won,11/3/2020,Won,71.00%,M,Indian,http://rajaforcongress.com/,,2020
Ro Khanna,CA,Federal,U.S. House,U.S. House,U.S. Representative,CA-17,Legis,Lower,D,Incumbent,Yes,Ro Khanna,D,3/3/2020,Won,11/3/2020,Won,74.10%,M,,http://www.rokhanna.com/,,2020
Ted Lieu,CA,Federal,U.S. House,U.S. House,U.S. Representative,CA-33,Legis,Lower,D,Incumbent,Yes,Ted Lieu,D,3/3/2020,Won,11/3/2020,Won,70.30%,M,Taiwanese,http://www.tedlieu.com/,,2020
Amata Radewagen,AS,Federal,U.S. House,U.S. House,U.S. Representative,AS-AL,Legis,Lower,R,Incumbent,Yes,Amata Radewagen,R,,Won,11/3/2020,Won,83.30%,F,,,,2020
Doris Matsui,CA,Federal,U.S. House,U.S. House,U.S. Representative,CA-06,Legis,Lower,D,Incumbent,Yes,Doris Matsui,D,3/3/2020,Won,11/3/2020,Won,76.60%,F,Japanese,http://www.matsuiforcongress.com/,,2020
Grace Meng,NY,Federal,U.S. House,U.S. House,U.S. Representative,NY-06,Legis,Lower,D,Incumbent,Yes,Grace Meng,D,6/23/2020,Won,11/3/2020,Won,62.60%,F,,http://gracefornewyork.com/,,2020
